date,open,high,low,close,volume,smawindow,emawindow,sma100,ema100,sma200,ema200,vwap,rsi,macd,macd_signal,macd_hist,bbands_upper,bbands_middle,bbands_lower,wma,cci,aroon_up,aroon_down,obv,stoch_slowk,stoch_slowd,stochf_fastk,stochf_fastd,stochrsi_fastk,stochrsi_fastd
2020-01-21 09:37:00,77.503,77.547,77.422,77.459,344296.0,77.4238,77.4512,77.4264,77.4473,77.4321,77.47,77.4892,50.4041,0.0221,0.0253,-0.0032,77.5529,77.436,77.3191,77.4346,113.9902,96.875,95.3125,75291348.0,31.1363,50.7683,13.4058,31.1363,0.0,-0.0
2020-01-21 09:38:00,77.466,77.515,77.378,77.467,514304.0,77.4239,77.4515,77.4274,77.4477,77.4303,77.47,77.487,50.7377,0.0171,0.0237,-0.0066,77.5537,77.4365,77.3193,77.4352,66.1952,96.0938,94.5312,75805652.0,21.6893,35.0144,30.7958,21.6893,4.69,1.5633
2020-01-21 09:39:00,77.479,77.562,77.446,77.52,217980.0,77.4245,77.4525,77.4288,77.4491,77.4288,77.4705,77.4875,52.8736,0.0172,0.0224,-0.0052,77.5569,77.4378,77.3187,77.4367,179.9504,95.3125,93.75,76023632.0,31.1122,27.9793,49.1349,31.1122,70.9587,25.2162
2020-01-21 09:40:00,77.528,77.598,77.463,77.549,342364.0,77.4254,77.454,77.4304,77.4511,77.4274,77.4713,77.4894,53.9838,0.0193,0.0218,-0.0024,77.5621,77.4397,77.3172,77.4386,228.8805,94.5312,92.9688,76365996.0,52.5527,35.118,77.7273,52.5527,100.0,58.5496
2020-01-21 09:41:00,77.547,77.586,77.495,77.538,230272.0,77.4261,77.4553,77.4314,77.4528,77.4259,77.4719,77.4907,53.4977,0.02,0.0214,-0.0014,77.5664,77.4414,77.3164,77.4404,227.4557,93.75,92.1875,76135724.0,66.5298,50.0649,72.7273,66.5298,85.4638,85.4742
2020-01-21 09:42:00,77.548,77.589,77.487,77.542,378532.0,77.4269,77.4567,77.4325,77.4546,77.4244,77.4726,77.4927,53.652,0.0205,0.0212,-0.0007,77.5708,77.4431,77.3155,77.4422,218.8622,92.9688,91.4062,76514256.0,75.0,64.6942,74.5455,75.0,88.6677,91.3772
2020-01-21 09:43:00,77.545,77.625,77.462,77.606,489016.0,77.4284,77.459,77.4342,77.4576,77.4233,77.474,77.4962,56.0268,0.0259,0.0222,0.0037,77.5802,77.4468,77.3134,77.445,255.7983,92.1875,90.625,77003272.0,78.8861,73.472,89.3855,78.8861,100.0,91.3772
2020-01-21 09:44:00,77.601,77.706,77.544,77.61,648120.0,77.4298,77.4613,77.4359,77.4606,77.4222,77.4753,77.5038,56.1696,0.03,0.0237,0.0063,77.5893,77.4505,77.3117,77.4478,339.438,100.0,89.8438,77651392.0,74.8622,76.2494,60.6557,74.8622,100.0,96.2226
2020-01-21 09:45:00,77.611,77.668,77.536,77.635,388068.0,77.4315,77.464,77.4382,77.4641,77.4213,77.4769,77.5077,57.0556,0.035,0.026,0.009,77.5999,77.4549,77.31,77.451,310.1193,99.2188,89.0625,78039460.0,73.6476,75.7986,70.9016,73.6476,100.0,100.0
2020-01-21 09:46:00,77.64,77.757,77.613,77.718,394936.0,77.4339,77.468,77.4412,77.4691,77.4207,77.4793,77.5142,59.7993,0.0451,0.0298,0.0153,77.6188,77.4608,77.3029,77.4554,419.2646,100.0,88.2812,78434396.0,72.779,73.763,86.7797,72.779,100.0,100.0
2020-01-21 09:47:00,77.723,77.789,77.675,77.747,386404.0,77.4367,77.4723,77.4444,77.4746,77.4203,77.482,77.5215,60.6917,0.0548,0.0348,0.02,77.6398,77.4667,77.2937,77.4603,448.4279,100.0,87.5,78820800.0,81.6124,76.013,87.156,81.6124,100.0,100.0
2020-01-21 09:48:00,77.755,77.869,77.729,77.852,587856.0,77.4402,77.4782,77.4491,77.4821,77.4204,77.4857,77.5356,63.6617,0.0701,0.0419,0.0283,77.6725,77.4745,77.2765,77.4667,516.3785,100.0,86.7188,79408656.0,89.6102,81.3339,94.8949,89.6102,100.0,100.0
2020-01-21 09:49:00,77.855,77.884,77.76,77.813,508076.0,77.4435,77.4834,77.4531,77.4886,77.4232,77.4889,77.5468,61.8953,0.0783,0.0491,0.0291,77.6963,77.4816,77.2669,77.4725,476.4336,100.0,85.9375,78900580.0,87.2162,86.1463,79.5977,87.2162,62.073,87.3577
2020-01-21 09:50:00,77.816,77.835,77.722,77.777,342608.0,77.4463,77.4879,77.457,77.4943,77.4251,77.4918,77.5528,60.324,0.0809,0.0555,0.0254,77.7141,77.4883,77.2626,77.4776,394.0868,99.2188,85.1562,78557972.0,78.3364,85.0543,60.5166,78.3364,0.0,54.0243
2020-01-21 09:51:00,77.781,77.855,77.754,77.794,423032.0,77.4493,77.4927,77.4613,77.5003,77.427,77.4948,77.5606,60.8018,0.0833,0.0611,0.0223,77.7324,77.4952,77.258,77.483,390.8717,98.4375,84.375,78981004.0,65.684,77.0789,56.9378,65.684,10.6359,24.2363
2020-01-21 09:52:00,77.781,77.8,77.727,77.771,255528.0,77.4521,77.497,77.4651,77.5056,77.4288,77.4975,77.5643,59.8107,0.0825,0.0653,0.0171,77.747,77.5019,77.2568,77.488,330.5186,97.6562,83.5938,78725476.0,49.2338,64.4181,30.2469,49.2338,0.0,3.5453
2020-01-21 09:53:00,77.771,77.83,77.746,77.789,193500.0,77.4551,77.5015,77.4691,77.5112,77.4306,77.5004,77.5674,60.3254,0.0823,0.0687,0.0136,77.7626,77.5086,77.2546,77.4932,331.8709,96.875,82.8125,78918976.0,42.8476,52.5885,41.358,42.8476,18.7254,9.7871
2020-01-21 09:54:00,77.792,77.857,77.741,77.835,374184.0,77.4582,77.5067,77.4736,77.5176,77.4328,77.5038,77.5737,61.6035,0.0849,0.072,0.0129,77.7815,77.516,77.2505,77.4991,332.1016,96.0938,82.0312,79293160.0,51.7695,47.9503,83.7037,51.7695,100.0,39.5751
